x pendolo,y pendolo,angolo,,"pivot x,y",592,52
354,495,-0.492998608,,,,
355,496,-0.490307957,,,,
361,501,-0.475161715,,,,
374,509,-0.4450985,,,,
392,520,-0.403859795,,,,
418,534,-0.346436896,,,,
445,549,-0.287575831,,,,
477,561,-0.2222025,,,,
512,571,-0.15293889,,,,
549,577,-0.081722346,,,,
588,579,-0.007589987,,,,
627,577,0.066568164,,,,
665,572,0.139473143,,,,
696,565,0.200018259,,,,
727,553,0.263209462,,,,
757,540,0.326047643,,,,
782,528,0.37978174,,,,
801,516,0.423212317,,,,
814,508,0.453065993,,,,
821,503,0.469836743,,,,
823,502,0.47425729,,,,
821,503,0.469836743,,,,
814,508,0.453065993,,,,
801,517,0.422406739,,,,
782,528,0.37978174,,,,
757,541,0.325427008,,,,
727,554,0.262708956,,,,
695,566,0.197769671,,,,
664,572,0.137586736,,,,
628,577,0.068464256,,,,
588,579,-0.007589987,,,,
550,577,-0.079829986,,,,
513,571,-0.151056281,,,,
479,562,-0.218046022,,,,
449,550,-0.279625215,,,,
421,537,-0.338969025,,,,
398,523,-0.390713824,,,,
380,513,-0.431031314,,,,
367,505,-0.460995095,,,,
361,501,-0.475161715,,,,
360,500,-0.477831055,,,,
362,502,-0.472496936,,,,
370,507,-0.4539306,,,,
384,516,-0.421419207,,,,
405,528,-0.374333616,,,,
429,541,-0.321750554,,,,
457,554,-0.262708956,,,,
489,565,-0.198145185,,,,
524,573,-0.129784592,,,,
561,578,-0.058867268,,,,
599,580,0.013256799,,,,
636,576,0.083772944,,,,
673,572,0.154527396,,,,
702,564,0.211626809,,,,
732,552,0.273008703,,,,
760,539,0.332186026,,,,
783,528,0.381592546,,,,
800,518,0.419816051,,,,
811,511,0.445180052,,,,
816,507,0.457474848,,,,
817,507,0.459242351,,,,
813,509,0.450432519,,,,
805,515,0.431174393,,,,
790,523,0.397952807,,,,
769,535,0.351262279,,,,
744,548,0.297365145,,,,
715,559,0.238005275,,,,
683,569,0.174230795,,,,
651,574,0.112549168,,,,
616,578,0.045595753,,,,
577,579,-0.028455315,,,,
540,576,-0.098912795,,,,
505,569,-0.166716566,,,,
473,560,-0.230102959,,,,
444,549,-0.289425028,,,,
419,536,-0.343285686,,,,
397,523,-0.392527656,,,,
381,514,-0.428419898,,,,
371,508,-0.451291662,,,,
366,505,-0.462764217,,,,
366,505,-0.462764217,,,,
370,507,-0.4539306,,,,
380,513,-0.431031314,,,,
396,523,-0.394338767,,,,
418,535,-0.345775506,,,,
442,548,-0.293674905,,,,
471,559,-0.234276419,,,,
503,569,-0.170476111,,,,
537,576,-0.104578906,,,,
574,579,-0.034142325,,,,
613,578,0.039902763,,,,
647,574,0.10497666,,,,
680,570,0.168277578,,,,
709,561,0.225937769,,,,
738,551,0.284640393,,,,
763,538,0.338323623,,,,
783,528,0.381592546,,,,
798,519,0.415439376,,,,
807,513,0.43638963,,,,
811,511,0.445180052,,,,
810,511,0.443403896,,,,
805,514,0.431995914,,,,
794,521,0.406691733,,,,
777,531,0.368572043,,,,
755,542,0.321138185,,,,
729,554,0.266420598,,,,
700,565,0.207496226,,,,
672,572,0.152649328,,,,
637,577,0.085505294,,,,
602,580,0.01893713,,,,
564,579,-0.05308102,,,,
529,575,-0.119881278,,,,
495,567,-0.186168487,,,,
465,558,-0.245908463,,,,
438,547,-0.301619046,,,,
416,534,-0.350103004,,,,
396,523,-0.394338767,,,,
382,515,-0.425813559,,,,
374,510,-0.44424969,,,,
371,509,-0.450432519,,,,
373,509,-0.446879543,,,,
379,513,-0.432820374,,,,
391,520,-0.405665181,,,,
